name,split,det count,gt count,ref count,type
007554,test,5,1,1,other
007575,test,3,2,2,interactive
007601,test,2,2,2,interactive
007634,test,8,1,2,interactive
007683,test,5,2,3,interactive
007692,test,2,2,2,interactive
007723,test,4,1,1,other
007725,test,4,1,1,other
007741,test,2,2,2,interactive
007779,test,7,1,2,interactive
007936,test,2,2,2,interactive
007948,test,3,2,2,interactive
007998,test,4,1,1,other
008004,test,4,1,2,interactive
008038,test,5,1,1,other
008073,test,2,2,2,interactive
008092,test,3,2,2,interactive
008098,test,9,2,2,interactive
008148,test,3,1,2,interactive
008228,test,2,2,3,interactive
008292,test,9,3,3,interactive
008300,test,2,2,3,interactive
008316,test,2,2,3,interactive
008331,test,4,2,4,interactive
008349,test,2,2,2,interactive
008368,test,12,2,4,interactive
008392,test,3,2,2,interactive
008411,test,3,2,4,interactive
008820,test,9,2,4,interactive
008863,test,3,1,2,interactive
008966,test,2,2,2,interactive
008997,test,2,2,2,interactive
009059,test,5,2,3,interactive
009098,test,1,1,2,other
009111,test,4,2,3,interactive
009114,test,6,1,1,other
009123,test,8,2,2,interactive
009143,test,3,2,5,interactive
009157,test,2,2,2,interactive
009198,test,3,2,2,interactive
009199,test,4,2,2,interactive
009246,test,2,2,2,interactive
009318,test,2,2,2,interactive
009334,test,3,1,1,other
009427,test,5,2,2,interactive
009445,test,9,2,2,interactive
009455,test,5,1,2,interactive
009511,test,2,1,2,interactive
009551,test,2,2,2,interactive
009611,test,6,3,4,interactive
009701,test,3,1,3,interactive
009735,test,2,1,1,other
009737,test,6,1,1,other
009755,test,2,2,2,interactive
009888,test,2,2,2,interactive
009901,test,9,2,2,interactive
009921,test,3,2,2,interactive
009928,test,8,2,2,interactive
010001,test,4,2,4,interactive
010006,test,2,2,2,interactive
010046,test,4,2,3,interactive
010075,test,10,2,2,interactive
010076,test,2,1,2,interactive
010083,test,3,2,3,interactive
010095,test,12,1,3,interactive
010344,test,9,2,2,interactive
010401,test,5,2,2,interactive
010463,test,2,2,2,interactive
010510,test,3,2,3,interactive
010552,test,4,1,1,other
010637,test,2,2,3,interactive
010789,test,2,2,2,interactive
010821,test,4,1,2,interactive
010824,test,3,1,1,other
010873,test,2,1,2,interactive
010958,test,2,2,2,interactive
011054,test,11,1,2,interactive
011391,test,2,2,2,interactive
011413,test,3,2,3,interactive
011538,test,4,2,2,interactive
011586,test,8,1,2,interactive
011591,test,3,2,2,interactive
011621,test,2,2,2,interactive
011756,test,8,1,1,other
011830,test,2,2,2,interactive
011870,test,3,3,4,interactive
011875,test,3,2,3,interactive
011957,test,6,3,3,interactive
011963,test,2,1,1,other
012045,test,2,2,3,interactive
012078,test,6,2,3,interactive
012141,test,10,1,2,interactive
012193,test,3,2,3,interactive
012261,test,2,2,2,interactive
012305,test,5,2,2,interactive
012391,test,6,1,2,interactive
012399,test,7,1,2,interactive
012415,test,2,2,2,interactive
012431,test,6,2,3,interactive
012443,test,3,1,3,interactive
012455,test,4,2,3,interactive
012548,test,2,2,4,interactive
012646,test,3,2,3,other
012832,test,2,2,2,interactive
012849,test,4,2,4,interactive
013068,test,7,2,3,interactive
013108,test,8,2,3,interactive
013192,test,11,1,2,interactive
013200,test,2,2,2,interactive
013212,test,1,1,2,other
013249,test,7,1,1,other
013268,test,3,2,2,interactive
013352,test,4,2,2,interactive
013372,test,4,1,1,other
013422,test,7,2,2,interactive
013430,test,2,2,2,interactive
013431,test,2,1,3,interactive
013444,test,7,2,2,interactive
013473,test,9,2,2,interactive
013477,test,2,2,2,interactive
013521,test,2,1,2,interactive
013753,test,9,2,2,interactive
013856,test,4,2,3,interactive
013937,test,12,2,3,interactive
013944,test,3,2,5,interactive
013990,test,2,2,2,interactive
014187,test,2,2,3,interactive
014293,test,6,3,3,interactive
014376,test,5,1,1,other
014407,test,9,1,1,other
014464,test,3,2,4,interactive
014523,test,4,2,2,interactive
014653,test,6,2,2,interactive
014671,test,4,2,2,interactive
014744,test,2,2,3,interactive
014758,test,9,2,4,interactive
014864,test,4,2,2,interactive
014871,test,7,1,1,other
014979,test,2,1,3,interactive
015068,test,5,1,1,other
015087,test,4,3,4,interactive
015163,test,4,1,4,interactive
015214,test,7,2,3,interactive
015246,test,2,2,2,interactive
015270,test,2,2,3,interactive
015279,test,5,1,3,interactive
015284,test,5,1,1,other
015357,test,1,1,2,other
015393,test,3,2,3,interactive
015604,test,5,2,2,interactive
015639,test,2,2,2,interactive
015643,test,10,7,11,interactive
015684,test,3,2,2,interactive
015738,test,2,2,2,interactive
015759,test,2,2,3,interactive
015825,test,2,2,2,interactive
015923,test,8,2,2,interactive
015946,test,4,2,2,interactive
015948,test,6,1,2,interactive
015969,test,2,2,2,interactive
016035,test,4,1,2,interactive
016059,test,3,1,1,other
016061,test,2,2,2,interactive
016105,test,4,2,2,interactive
016136,test,2,2,2,interactive
016164,test,2,2,2,interactive
016170,test,4,2,3,interactive
016250,test,9,1,1,other
016289,test,7,2,2,interactive
016330,test,3,2,3,interactive
016335,test,5,2,3,interactive
016353,test,3,2,4,interactive
016361,test,2,2,2,interactive
016421,test,2,2,3,interactive
016576,test,7,1,2,interactive
016638,test,9,1,3,interactive
016707,test,2,2,2,interactive
016726,test,2,2,2,interactive
016844,test,9,1,2,other
017033,test,8,1,2,interactive
017146,test,3,2,2,interactive
017219,test,9,2,2,interactive
017222,test,8,1,2,interactive
017273,test,3,1,1,other
017407,test,10,2,3,interactive
017548,test,2,2,2,interactive
017550,test,3,2,2,interactive
017662,test,2,2,2,interactive
017694,test,8,2,2,interactive
017782,test,3,3,4,interactive
017814,test,2,2,2,interactive
017823,test,3,2,4,interactive
017839,test,2,2,2,interactive
017845,test,2,2,3,interactive
017860,test,2,2,2,interactive
017870,test,3,2,2,interactive
017910,test,2,1,3,interactive
017933,test,3,2,3,interactive
017939,test,3,2,2,interactive
017949,test,2,2,2,interactive
017951,test,7,2,2,interactive
017984,test,12,2,5,interactive
017996,test,6,2,3,interactive
018024,test,4,1,2,interactive
018036,test,2,2,2,interactive
018069,test,6,2,2,interactive
018102,test,8,1,2,interactive
018241,test,5,2,2,other
018332,test,3,2,2,interactive
018366,test,8,2,2,interactive
018380,test,3,1,1,other
018399,test,9,1,2,interactive
018452,test,4,2,2,interactive
018485,test,2,1,2,interactive
018530,test,11,1,1,other
018539,test,1,1,25,other
018571,test,3,1,1,other
018722,test,6,2,3,interactive
018746,test,4,2,2,interactive
018760,test,2,2,3,interactive
018856,test,2,2,2,interactive
018861,test,9,2,4,interactive
018867,test,9,2,2,interactive
018948,test,2,1,1,other
018980,test,2,2,2,interactive
019072,test,6,1,3,interactive
019091,test,6,2,3,interactive
019186,test,7,2,4,interactive
019298,test,2,1,1,other
019375,test,4,1,4,interactive
019461,test,7,1,1,other
019499,test,2,2,2,interactive
019504,test,5,1,2,interactive
019616,test,3,1,1,other
019632,test,11,2,2,interactive
019664,test,3,2,2,interactive
019713,test,2,2,2,interactive
019733,test,4,1,1,other
019813,test,8,2,2,interactive
019827,test,3,2,2,interactive
019852,test,4,2,3,interactive
019885,test,5,1,1,other
019905,test,4,2,2,interactive
019937,test,3,2,2,interactive
020184,test,8,2,2,interactive
020262,test,2,2,2,interactive
020316,test,5,2,2,interactive
020351,test,7,1,1,other
020353,test,7,2,3,interactive
020380,test,1,1,2,other
020389,test,3,2,2,interactive
020412,test,2,2,2,interactive
020486,test,9,2,2,interactive
020566,test,10,1,3,interactive
020612,test,13,1,2,interactive
020634,test,7,2,2,interactive
020653,test,2,1,2,interactive
020675,test,4,3,3,interactive
020864,test,3,1,2,interactive
020887,test,5,2,2,interactive
020895,test,5,2,2,interactive
020923,test,2,2,2,interactive
021025,test,7,2,2,interactive
021219,test,2,1,3,interactive
021311,test,2,2,2,interactive
021337,test,3,2,2,interactive
021363,test,4,2,2,interactive
021389,test,3,1,2,interactive
021443,test,3,2,2,interactive
021684,test,2,2,3,interactive
021753,test,8,1,2,interactive
021774,test,9,2,3,interactive
021855,test,4,1,1,other
021874,test,2,2,2,interactive
021905,test,2,1,1,other
021920,test,7,1,1,other
022039,test,9,2,2,interactive
022156,test,6,1,3,interactive
022158,test,7,1,1,other
022186,test,7,2,2,interactive
022317,test,6,1,1,other
022351,test,2,2,2,interactive
022366,test,4,2,2,interactive
022374,test,2,2,2,interactive
022382,test,5,3,5,interactive
022523,test,5,2,3,interactive
022567,test,3,2,2,interactive
022668,test,3,2,2,interactive
022670,test,8,1,1,other
022720,test,9,2,2,other
022721,test,2,1,2,interactive
022737,test,2,1,2,interactive
022833,test,3,2,3,interactive
022908,test,2,2,2,interactive
022911,test,2,1,2,interactive
022919,test,8,1,2,interactive
023007,test,4,1,2,interactive
023077,test,2,2,2,other
023164,test,3,2,4,interactive
023181,test,2,2,2,interactive
023199,test,5,2,4,interactive
023201,test,4,1,25,interactive
023259,test,8,1,2,interactive
023277,test,4,2,2,other
023316,test,1,1,27,other
023325,test,9,1,3,interactive
023356,test,9,2,3,interactive
023361,test,3,1,3,interactive
023447,test,8,2,2,interactive
023452,test,5,2,2,interactive
023597,test,3,3,3,interactive
023702,test,6,2,2,interactive
023733,test,2,2,2,interactive
023858,test,2,2,2,interactive
023863,test,7,1,2,interactive
023903,test,8,1,1,other
024053,test,2,2,2,interactive
024072,test,4,1,1,other
024225,test,9,2,2,interactive
024313,test,2,2,2,interactive
024398,test,2,2,3,interactive
024412,test,2,1,2,interactive
024435,test,7,2,6,interactive
024564,test,2,2,2,interactive
024614,test,7,1,2,interactive
024625,test,2,2,3,interactive
024648,test,2,1,2,interactive
024693,test,11,1,1,other
024714,test,7,1,1,other
024750,test,2,2,2,interactive
024753,test,2,1,2,interactive
024767,test,10,1,2,interactive
024801,test,3,2,3,interactive
024817,test,5,1,1,other
024831,test,2,2,2,interactive
024867,test,6,2,2,interactive
024938,test,2,2,2,interactive
024961,test,2,1,3,interactive
024967,test,13,5,7,interactive
024973,test,2,2,2,interactive
024984,test,2,2,2,interactive
025049,test,2,2,2,interactive
025078,test,5,2,3,interactive
025166,test,12,2,2,other
025194,test,6,1,2,interactive
025196,test,2,2,2,interactive
025254,test,14,2,3,interactive
025264,test,6,2,5,interactive
025315,test,8,2,2,interactive
025322,test,4,2,2,interactive
025341,test,2,2,2,interactive
025353,test,3,1,2,interactive
025379,test,5,1,4,interactive
025455,test,9,2,2,interactive
025580,test,6,2,2,interactive
025590,test,12,1,2,interactive
025649,test,4,2,3,interactive
025670,test,2,2,2,interactive
025724,test,10,1,1,other
025810,test,2,2,2,interactive
025812,test,6,2,2,interactive
025971,test,8,2,3,interactive
026004,test,2,2,2,interactive
026054,test,14,1,1,other
026144,test,9,1,2,interactive
026152,test,2,1,1,other
026188,test,10,1,5,interactive
026274,test,4,2,2,interactive
026280,test,3,2,2,interactive
026311,test,2,1,2,interactive
026324,test,3,2,4,interactive
026341,test,2,2,2,interactive
026440,test,3,2,2,interactive
026516,test,10,1,1,other
026546,test,2,1,3,interactive
026567,test,2,1,2,interactive
026575,test,5,1,1,other
026646,test,3,1,1,other
026649,test,2,2,2,interactive
026738,test,9,2,2,interactive
026788,test,4,1,4,interactive
026822,test,8,1,1,other
026827,test,2,2,3,interactive
026840,test,6,2,7,interactive
026852,test,4,2,3,interactive
026855,test,2,1,1,other
026895,test,11,1,1,other
026968,test,2,1,2,interactive
027078,test,11,2,12,interactive
027149,test,3,2,2,interactive
027162,test,4,2,3,interactive
027169,test,7,2,2,interactive
027252,test,2,2,3,interactive
027292,test,2,2,2,interactive
027322,test,5,1,2,interactive
027403,test,6,2,2,interactive
027426,test,9,2,2,interactive
027435,test,2,2,2,interactive
027441,test,7,2,2,interactive
027490,test,5,1,4,interactive
027521,test,3,2,2,interactive
027525,test,1,1,2,other
027576,test,2,2,2,interactive
027606,test,3,2,3,interactive
027613,test,5,1,1,other
027620,test,4,2,2,interactive
027702,test,10,2,3,interactive
027716,test,3,2,2,interactive
027802,test,7,2,3,interactive
027877,test,9,2,2,interactive
027928,test,9,2,2,interactive
027936,test,6,1,3,interactive
027951,test,8,1,2,interactive
027990,test,3,1,2,interactive
028050,test,10,2,2,interactive
028081,test,8,1,1,other
028153,test,5,2,3,interactive
028207,test,3,2,2,interactive
028262,test,1,1,2,other
028268,test,7,1,2,interactive
028381,test,2,2,2,interactive
028394,test,2,2,2,interactive
028399,test,2,2,2,interactive
028406,test,2,2,2,other
028432,test,6,2,3,interactive
028531,test,2,2,2,interactive
028565,test,7,1,4,interactive
028642,test,7,2,2,interactive
028694,test,3,2,2,interactive
028703,test,3,1,3,interactive
028795,test,6,1,27,interactive
028852,test,2,1,22,interactive
028921,test,3,2,2,interactive
029028,test,2,1,2,interactive
029190,test,2,2,2,interactive
029505,test,3,2,2,interactive
029564,test,9,2,4,interactive
029575,test,9,1,2,interactive
029600,test,2,2,2,interactive
029628,test,9,2,2,interactive
029632,test,2,2,2,interactive
029655,test,10,1,1,other
029747,test,2,1,2,interactive
029785,test,3,1,3,other
029852,test,4,2,2,interactive
029880,test,2,2,2,interactive
029940,test,6,3,5,interactive
029961,test,3,2,3,interactive
030059,test,8,2,2,interactive
030135,test,3,2,4,interactive
030220,test,6,1,2,interactive
030258,test,2,2,2,interactive
030309,test,6,2,3,interactive
030329,test,3,2,3,interactive
030442,test,2,2,2,interactive
030552,test,10,1,1,other
030557,test,2,2,2,interactive
030606,test,4,2,2,other
030623,test,3,1,2,interactive
030676,test,9,2,2,interactive
030739,test,10,2,2,interactive
030792,test,2,2,4,interactive
030804,test,3,2,3,interactive
030817,test,7,2,3,interactive
030904,test,2,2,2,interactive
030937,test,7,2,2,interactive
031094,test,3,2,3,interactive
031095,test,5,1,1,other
031170,test,9,1,2,interactive
031216,test,5,2,3,interactive
031225,test,9,1,3,interactive
031554,test,2,2,2,interactive
031699,test,4,2,2,interactive
031705,test,6,3,3,interactive
031734,test,2,1,2,other
031796,test,2,2,2,interactive
031820,test,6,2,4,interactive
031826,test,8,2,2,interactive
031849,test,2,2,2,interactive
031876,test,2,2,3,interactive
031884,test,9,2,2,interactive
031894,test,7,2,2,interactive
031903,test,2,2,3,interactive
031933,test,2,2,2,interactive
031979,test,2,2,2,interactive
032024,test,2,2,3,interactive
032223,test,3,2,2,interactive
032237,test,2,2,5,interactive
032263,test,5,2,2,interactive
032266,test,6,2,3,interactive
032306,test,9,1,2,interactive
032336,test,8,2,3,interactive
032376,test,4,1,5,interactive
032397,test,4,1,4,interactive
032445,test,2,2,2,interactive
032467,test,2,2,2,interactive
032572,test,2,2,2,interactive
032577,test,2,1,1,other
032618,test,4,1,2,interactive
032678,test,2,2,2,interactive
032930,test,2,2,2,interactive
033031,test,2,2,2,interactive
033092,test,2,2,2,interactive
033205,test,6,2,3,interactive
033219,test,2,1,1,other
033342,test,2,2,2,interactive
033368,test,7,2,2,interactive
033460,test,4,2,2,interactive
033475,test,9,1,2,interactive
033541,test,1,1,6,other
033642,test,2,2,3,interactive
033727,test,2,2,2,interactive
033816,test,3,2,4,interactive
033864,test,4,1,2,interactive
033952,test,7,2,2,interactive
034000,test,9,3,3,interactive
034064,test,4,2,4,interactive
034127,test,2,2,2,interactive
034227,test,9,2,3,interactive
034262,test,2,2,2,interactive
034296,test,6,2,5,other
034395,test,2,2,2,interactive
034448,test,2,2,2,interactive
034561,test,9,1,3,interactive
034574,test,9,2,2,interactive
034579,test,9,1,4,interactive
034666,test,2,2,2,interactive
034734,test,2,2,2,interactive
034778,test,2,2,2,interactive
034788,test,3,2,2,interactive
034816,test,4,2,2,interactive
034847,test,3,2,2,interactive
034869,test,4,1,4,interactive
034872,test,13,3,5,interactive
034893,test,2,2,2,interactive
035059,test,6,2,2,interactive
035127,test,3,2,2,interactive
035129,test,5,1,1,other
035211,test,10,1,4,interactive
035295,test,8,3,3,interactive
035359,test,4,1,3,interactive
035466,test,5,2,2,interactive
035548,test,2,1,2,interactive
035558,test,3,1,5,interactive
035569,test,11,1,2,interactive
035657,test,11,5,13,interactive
035764,test,8,1,1,other
035831,test,2,2,2,interactive
035961,test,2,2,2,interactive
036035,test,3,2,2,interactive
036045,test,4,2,3,interactive
036058,test,2,1,2,interactive
036120,test,7,3,3,interactive
036323,test,8,1,2,interactive
036330,test,2,2,2,interactive
036379,test,4,2,4,interactive
036413,test,2,2,2,interactive
036463,test,4,2,2,interactive
036516,test,6,1,3,interactive
036543,test,4,1,2,interactive
036654,test,8,1,2,interactive
036756,test,6,2,3,interactive
036781,test,9,2,2,interactive
036811,test,8,2,3,interactive
036827,test,3,1,2,interactive
036944,test,2,1,2,interactive
037080,test,3,2,2,interactive
037154,test,5,1,4,interactive
037210,test,2,1,2,interactive
037278,test,2,2,2,interactive
037279,test,2,2,3,interactive
037416,test,11,8,11,interactive
037458,test,5,2,3,interactive
037478,test,6,2,2,interactive
037479,test,2,1,1,other
037507,test,4,2,2,interactive
037540,test,4,2,2,interactive
037592,test,2,2,2,interactive
037615,test,2,2,2,interactive
037702,test,7,3,7,interactive
037754,test,3,2,2,interactive
037850,test,2,2,2,interactive
037855,test,2,1,1,other
037882,test,2,1,2,interactive
037929,test,5,2,2,interactive
038015,test,2,2,2,interactive
038133,test,2,2,5,interactive
038208,test,6,2,2,interactive
038212,test,2,2,2,interactive
038244,test,3,1,3,interactive
038391,test,2,1,3,interactive
038475,test,6,2,3,interactive
038592,test,2,2,2,interactive
038840,test,2,2,2,interactive
038850,test,11,1,2,interactive
039009,test,2,1,2,interactive
039012,test,10,3,6,interactive
039026,test,2,2,2,interactive
039045,test,4,2,3,interactive
039068,test,2,2,2,interactive
039122,test,3,1,2,interactive
039190,test,4,2,4,interactive
039191,test,4,2,3,interactive
039215,test,3,2,2,interactive
039222,test,2,2,2,interactive
039241,test,7,2,3,interactive
039278,test,6,2,4,interactive
039333,test,3,2,2,interactive
039385,test,2,2,2,interactive
039433,test,2,2,2,interactive
039466,test,4,2,2,interactive
039533,test,3,2,2,interactive
039540,test,4,1,1,other
039557,test,3,2,2,interactive
039572,test,1,1,2,other
039644,test,2,1,1,other
039744,test,2,2,2,interactive
039784,test,2,2,3,interactive
039822,test,4,2,3,interactive
039850,test,4,2,2,interactive
039902,test,6,2,3,interactive
039917,test,4,2,2,interactive
040017,test,4,2,2,interactive
040106,test,4,2,4,interactive
040158,test,11,1,1,other
040256,test,3,2,4,interactive
040265,test,2,2,2,interactive
040280,test,2,2,2,interactive
040302,test,6,2,3,interactive
040316,test,9,2,2,interactive
040342,test,6,2,3,interactive
040419,test,2,2,2,interactive
040495,test,11,1,2,interactive
040510,test,3,2,3,interactive
040515,test,2,1,2,interactive
040519,test,2,2,3,interactive
040533,test,1,1,2,other
040543,test,2,2,2,interactive
040657,test,2,2,2,interactive
040667,test,8,1,1,other
040809,test,4,1,22,interactive
040963,test,6,1,3,interactive
041090,test,3,2,2,interactive
041097,test,6,1,2,interactive
041347,test,3,2,2,interactive
041375,test,2,1,1,other
041385,test,2,2,2,interactive
041395,test,2,1,4,interactive
041416,test,2,2,2,interactive
041435,test,2,2,2,interactive
041544,test,3,3,3,interactive
041576,test,4,2,3,interactive
041677,test,2,2,2,interactive
041778,test,2,1,2,interactive
041851,test,9,2,3,interactive
041995,test,2,1,1,other
042059,test,2,2,2,interactive
042089,test,2,2,2,interactive
042157,test,2,2,2,interactive
042171,test,2,1,2,interactive
042174,test,7,2,4,interactive
042223,test,5,2,2,interactive
042230,test,4,1,2,interactive
042267,test,5,2,6,interactive
042271,test,2,2,2,interactive
042333,test,9,2,5,interactive
042353,test,2,2,2,interactive
042396,test,4,1,2,interactive
042427,test,3,2,4,interactive
042502,test,1,1,2,other
042538,test,3,2,2,interactive
042549,test,2,2,2,interactive
042572,test,7,2,2,interactive
042578,test,11,1,1,other
042642,test,6,1,1,other
042689,test,7,1,1,other
042736,test,6,2,2,interactive
042784,test,3,2,4,interactive
042854,test,2,2,2,interactive
042863,test,10,1,1,other
042908,test,2,2,2,interactive
042942,test,11,1,3,interactive
042946,test,10,2,2,interactive
042961,test,2,1,3,interactive
042982,test,2,2,3,interactive
043024,test,2,1,2,interactive
043076,test,11,2,2,interactive
043083,test,6,2,2,interactive
043110,test,6,1,1,other
043284,test,2,2,2,interactive
043362,test,2,1,2,interactive
043418,test,2,2,3,interactive
043436,test,2,2,2,interactive
043460,test,7,2,2,interactive
043527,test,3,2,2,interactive
043543,test,5,2,3,interactive
043588,test,9,2,2,interactive
043715,test,4,1,1,other
043716,test,5,2,5,interactive
043721,test,4,2,3,interactive
043758,test,3,1,1,other
043828,test,7,1,2,interactive
043953,test,3,2,3,interactive
044028,test,7,1,3,interactive
044050,test,2,2,3,interactive
044184,test,2,2,2,interactive
044187,test,7,1,1,other
044274,test,2,2,3,interactive
044277,test,4,3,4,interactive
044305,test,5,1,1,other
044395,test,2,2,2,interactive
044419,test,3,1,2,interactive
044440,test,2,1,3,interactive
044585,test,2,1,3,interactive
044686,test,2,2,3,interactive
044702,test,2,2,2,interactive
044706,test,3,2,3,interactive
044715,test,2,2,2,interactive
044763,test,2,2,3,interactive
044774,test,4,1,1,other
044785,test,6,4,5,interactive
044791,test,3,2,2,interactive
044826,test,3,2,3,interactive
044854,test,10,1,2,interactive
044912,test,7,1,2,interactive
045009,test,2,2,2,interactive
045010,test,13,1,1,other
045093,test,2,2,2,interactive
045175,test,3,2,2,interactive
045314,test,7,1,1,other
045347,test,6,2,2,interactive
045362,test,8,1,1,other
045429,test,8,2,3,interactive
045432,test,3,2,2,interactive
045474,test,2,1,3,interactive
045497,test,9,2,2,interactive
045593,test,2,2,14,interactive
045672,test,3,2,2,interactive
045690,test,7,1,1,other
045776,test,10,2,2,interactive
045779,test,11,1,2,interactive
045810,test,4,2,2,interactive
045812,test,1,1,4,other
045877,test,2,2,2,interactive
045913,test,6,2,2,interactive
045923,test,3,2,2,interactive
046000,test,15,2,2,interactive
046008,test,7,1,1,other
046009,test,8,1,1,other
046052,test,2,2,6,interactive
046076,test,8,2,3,interactive
046272,test,2,2,2,interactive
046280,test,2,2,2,interactive
046317,test,2,1,1,other
046386,test,5,2,3,interactive
046490,test,5,2,2,interactive
046497,test,3,1,2,interactive
046540,test,4,2,3,interactive
046591,test,4,2,2,interactive
046600,test,5,2,2,interactive
046616,test,4,1,1,other
046747,test,3,2,2,interactive
046839,test,4,2,4,interactive
046906,test,3,2,3,interactive
046988,test,3,2,2,interactive
047012,test,3,2,2,interactive
047047,test,5,2,2,interactive
047408,test,4,1,3,interactive
047528,test,2,2,2,interactive
047567,test,1,1,2,other
047672,test,2,2,2,interactive
047695,test,8,1,2,interactive
047706,test,7,2,2,interactive
047885,test,13,1,1,other
047939,test,2,2,2,interactive
047978,test,2,2,2,interactive
048026,test,8,2,3,interactive
048028,test,2,1,1,other
048050,test,2,2,2,interactive
048105,test,7,1,2,interactive
048157,test,7,1,2,interactive
048271,test,11,2,2,interactive
048272,test,3,2,2,interactive
048370,test,3,2,2,interactive
048427,test,4,2,2,interactive
048430,test,3,1,2,interactive
048499,test,2,1,1,other
048561,test,8,2,2,interactive
048614,test,2,2,3,interactive
048634,test,2,2,2,interactive
048675,test,6,2,2,interactive
048774,test,2,1,1,other
048802,test,2,2,2,interactive
048862,test,9,1,3,interactive
048897,test,6,2,2,interactive
048995,test,2,2,2,interactive
049144,test,10,1,3,interactive
049148,test,8,1,1,other
049168,test,8,2,2,interactive
049197,test,2,2,2,interactive
049227,test,7,1,1,other
049266,test,2,2,4,interactive
049272,test,5,1,1,other
049275,test,2,2,3,interactive
049290,test,6,2,3,interactive
049313,test,2,1,1,other
049378,test,6,2,2,interactive
049380,test,7,2,2,interactive
049405,test,2,2,3,interactive
049439,test,2,2,2,interactive
049618,test,9,2,2,interactive
049675,test,3,3,3,interactive
049816,test,4,1,4,interactive
049887,test,5,2,2,interactive
